Date,SPY,EUR/USD,BTC,GLD,ETH
2017-12-15,233.9702606201172,1.1774957180023191,17706.900390625,119.18000030517578,684.447998046875
2017-12-18,235.45388793945312,1.1743566989898682,19114.19921875,119.7300033569336,794.64501953125
2017-12-19,234.54965209960935,1.1784253120422363,17776.69921875,119.81999969482422,826.822998046875
2017-12-20,234.42677307128903,1.1841325759887695,16624.599609375,120.13999938964844,819.0859985351562
2017-12-21,234.9096221923828,1.1878176927566528,15802.900390625,120.30999755859376,821.06298828125
2017-12-22,234.84815979003903,1.185733199119568,13831.7998046875,120.94000244140624,674.8599853515625
2017-12-26,234.5672149658203,1.187253713607788,16099.7998046875,121.7699966430664,773.8359985351562
2017-12-27,234.6813201904297,1.1857894659042358,15838.5,122.2300033569336,762.8419799804688
2017-12-28,235.1641845703125,1.1900794506072998,14606.5,122.8499984741211,737.0230102539062
2017-12-29,234.27749633789065,1.1941723823547363,14656.2001953125,123.6500015258789,753.5919799804688
2018-01-02,235.9542999267578,1.2011579275131226,14982.099609375,125.1500015258789,884.4439697265625
2018-01-03,237.4466552734375,1.2063454389572144,15201.0,124.81999969482422,962.719970703125
2018-01-04,238.44747924804688,1.2010425329208374,15599.2001953125,125.45999908447266,980.9219970703124
2018-01-05,240.03663635253903,1.2068840265274048,17429.5,125.33000183105467,997.719970703125
2018-01-08,240.4755859375,1.2037460803985596,15170.099609375,125.30999755859376,1148.530029296875
2018-01-09,241.0198211669922,1.1970456838607788,14595.400390625,124.7300033569336,1299.739990234375
2018-01-10,240.651123046875,1.1929330825805664,14973.2998046875,125.02999877929688,1255.8199462890625
2018-01-11,242.4069366455078,1.195614457130432,13405.7998046875,125.44000244140624,1154.9300537109375
2018-01-12,243.98712158203125,1.2042099237442017,13980.599609375,126.95999908447266,1273.199951171875
2018-01-16,243.15310668945312,1.2268433570861816,11490.5,127.16999816894533,1053.68994140625
2018-01-17,245.4707489013672,1.227129340171814,11188.599609375,126.13999938964844,1014.25
2018-01-18,245.05812072753903,1.218397855758667,11474.900390625,125.86000061035156,1036.280029296875
2018-01-19,246.1730804443359,1.2236607074737549,11607.400390625,126.41999816894533,1039.0999755859375
2018-01-22,248.17469787597656,1.2255502939224243,10931.400390625,126.6500015258789,1003.260009765625
2018-01-23,248.7014617919922,1.2256253957748413,10868.400390625,127.27999877929688,986.22900390625
2018-01-24,248.6049041748047,1.2310267686843872,11359.400390625,128.8300018310547,1058.780029296875
2018-01-25,248.7102203369141,1.239111304283142,11259.400390625,127.97000122070312,1056.030029296875
2018-01-26,251.5897979736328,1.239234209060669,11171.400390625,128.07000732421875,1055.1700439453125
2018-01-29,249.92172241210935,1.2428072690963743,11296.400390625,127.3499984741211,1182.3599853515625
2018-01-30,247.3583068847656,1.2381141185760498,10106.2998046875,126.8000030517578,1071.1300048828125
2018-01-31,247.4811248779297,1.2409565448760986,10221.099609375,127.6500015258789,1118.31005859375
2018-02-01,247.2002410888672,1.241865873336792,9170.5400390625,128.07000732421875,1036.7900390625
2018-02-02,241.81871032714844,1.2510008811950684,8830.75,126.38999938964844,915.7849731445312
2018-02-05,231.70523071289065,1.244694471359253,6955.27001953125,126.70999908447266,697.9509887695312
2018-02-06,236.27035522460935,1.2367818355560305,7754.0,125.37999725341795,793.1220092773438
2018-02-07,234.98863220214844,1.238129496574402,7621.2998046875,124.79000091552734,757.0679931640625
2018-02-08,226.17445373535156,1.2268133163452148,8265.58984375,124.9800033569336,817.8070068359375
2018-02-09,229.57196044921875,1.2260762453079224,8736.98046875,124.7699966430664,883.864990234375
2018-02-12,232.94308471679688,1.2252799272537231,8926.5703125,125.37000274658205,868.7069702148438
2018-02-13,233.52252197265625,1.2303755283355713,8598.3095703125,126.08000183105467,845.2579956054688
2018-02-14,236.67417907714844,1.235376238822937,9494.6298828125,128.22999572753906,923.5609741210938
2018-02-15,239.69418334960935,1.2467273473739624,10166.400390625,128.3800048828125,936.9760131835938
2018-02-16,239.764404296875,1.2503595352172852,10233.900390625,127.95999908447266,944.2100219726562
2018-02-20,238.26321411132812,1.2398641109466553,11403.7001953125,126.23999786376952,895.3709716796875
